"user_id","account_start_date","birth_year","gender","marital_status","individual_income_segment_code","family_income_segment_code","account_age","amount_a_before","amount_b_before","amount_a_after","amount_b_after","amount_of_a_and_b","amount_ads_before","amount_ads_after","month_5","month_6","month_7","d_cat1","d_cat2","d_cat3","d_cat4","d_cat5","d_cat6","d_cat7","d_cat8","d_cat9","d_cat10","d_cat11","d_cat12","d_cat13","d_cat14","d_cat15","d_cat16","c_cat1","c_cat2","c_cat3","c_cat4","c_cat5","c_cat6","c_cat7","c_cat8","c_cat9","c_cat10","c_cat11","c_cat12","c_cat13","c_cat14","c_cat15","c_cat16","screen_1_before","screen_2_before","screen_1_after","screen_2_after","label"
"10000000385","1965-01-26",1969,0,1,7,4,5,0,0,0,0,0,0,0,8,6,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0
"10000000392","1976-02-10",1956,0,3,2,5,4,0,0,0,0,0,0,0,84,8,56,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,25,5,0,0,0
"10000000401","1982-05-12",1953,1,2,2,7,3,0,0,0,0,0,0,0,7,88,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0
"10000000402","1970-04-28",1962,1,1,12,7,4,0,0,0,0,0,0,0,31,45,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,14,8,0,0
"10000000422","1981-05-18",1981,1,1,3,2,3,1,0,0,0,1,0,0,8,4,123,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,2,1,12,8,0,0,0
"10000000454","1976-05-07",1959,1,3,15,6,4,0,0,0,0,0,0,0,30,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
"10000000481","1986-12-01",1950,1,2,6,5,3,0,0,0,0,0,0,0,5,7,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
"10000000501","1987-01-18",1959,0,1,4,4,3,0,0,0,0,0,0,0,8,12,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"10000000503","1992-08-24",1948,0,2,10,-1,2,0,0,0,0,0,0,0,6,12,105,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,2,28,0,0,0,0
"10000000516","1980-10-22",1966,1,3,12,2,3,0,0,0,0,0,0,0,9,5,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"10000000519","1977-10-03",1965,1,3,15,4,4,0,0,0,0,0,0,0,9,56,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"10000000521","1986-10-12",1957,1,3,9,6,3,0,0,0,0,0,0,0,12,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,5,0,0,0,0
"10000000542","1976-02-18",1942,0,1,5,4,4,0,0,0,0,0,1,0,12,13,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0
"10000000548","1976-10-10",1968,1,3,12,-1,4,0,0,0,0,0,0,0,11,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,19,0,0,0,0
"10000000551","1980-02-24",1952,1,1,6,1,3,1,0,0,0,1,0,0,11,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,0,0
"10000000554","1982-01-15",1945,0,1,10,4,3,0,0,0,0,0,0,0,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0
"10000000568","1997-06-05",1961,0,1,12,5,2,0,0,0,0,0,0,0,131,24,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0
"10000000591","1972-10-08",1957,1,-1,9,6,4,0,0,0,0,0,0,0,149,3,153,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0
"10000000597","1980-06-21",1953,0,3,4,3,3,0,0,0,0,0,0,0,15,19,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0
"10000000625","1978-03-26",1984,1,2,2,1,4,0,0,0,0,0,0,0,5,207,24,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"10000000629","1974-11-10",1948,0,3,3,2,4,0,0,0,0,0,0,0,12,6,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,10,2,0,0,0
"10000000630","1978-03-07",1960,0,1,2,3,4,0,0,0,0,0,0,0,4,134,631,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0
"10000000639","1979-11-15",1954,0,2,3,4,3,0,0,0,0,0,0,0,12,100,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
"10000000642","1977-11-29",1964,1,-1,3,2,4,0,0,0,0,0,0,0,4,18,122,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0
"10000000644","1982-09-27",1962,1,1,9,3,3,0,0,0,0,0,0,0,73,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,10,11,0,0,0
"10000000651","1975-07-10",1952,1,3,14,-1,4,0,0,0,0,0,0,0,22,18,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0
"10000000655","1985-01-20",1949,1,-1,8,-1,3,1,0,0,0,1,1,0,9,19,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0
"10000000659","1981-12-15",1957,0,1,11,3,3,0,0,0,0,0,1,0,14,211,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,4,0,0,0
"10000000676","1976-08-03",1953,0,3,11,3,4,0,0,0,0,0,1,0,5,6,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0
"10000000682","1985-10-22",1963,0,1,8,2,3,0,0,0,0,0,0,0,14,165,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0
"10000000691","1973-07-17",1969,0,2,1,2,4,0,0,0,0,0,0,0,8,44,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0
"10000000702","1978-05-01",1975,0,3,4,-1,4,0,0,0,0,0,0,0,9,56,39,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10000000712","1979-06-05",1959,1,2,15,5,3,0,0,0,0,0,0,0,32,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10000000724","1982-09-29",1964,1,1,10,3,3,0,0,0,0,0,0,0,6,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
"10000000730","1973-04-22",1959,0,2,2,3,4,0,0,0,0,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,10,0,0,0,1
"10000000736","1987-05-17",1959,0,3,13,7,3,0,0,0,0,0,1,0,13,45,14,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,1,0,8,6,0,0,0
"10000000738","1976-10-11",1951,0,-1,11,6,4,0,0,0,0,0,0,0,17,6,36,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,29,13,0,0,1
"10000000740","1971-12-05",1960,1,3,5,2,4,0,0,0,0,0,0,0,271,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,12,0,0,0,0
"10000000755","1978-10-29",1970,1,2,8,6,3,0,0,0,0,0,0,0,13,12,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0
"10000000759","1973-11-24",1969,0,2,10,7,4,1,0,0,0,1,0,0,7,9,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,1,0,0,0,0,0,22,2,0,0,0
"10000000764","1983-10-23",1972,1,2,12,3,3,0,0,0,0,0,0,0,7,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,19,19,0,0,0
"10000000771","1990-01-11",1959,1,-1,12,7,2,0,0,0,0,0,0,0,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"10000000774","1986-08-25",1967,0,2,5,1,3,0,0,0,0,0,0,0,5,19,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"10000000782","1976-06-20",1949,1,2,2,1,4,0,0,0,0,0,0,0,4,37,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,1,1,1,1,0,0,0,1,0,0,33,0,0,0,0
"10000000790","1982-10-28",1974,1,3,11,1,3,0,0,0,0,0,0,0,6,212,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0
"10000000791","1990-07-30",1972,1,3,10,3,2,0,0,0,0,0,0,0,15,37,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
"10000000793","1975-08-05",1962,0,2,3,-1,4,0,0,0,0,0,0,0,54,92,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0
"10000000794","1975-03-22",1941,0,3,10,6,4,0,0,0,0,0,0,0,23,241,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10000000795","1981-11-16",1987,1,-1,1,7,3,0,0,0,1,1,0,0,16,10,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"10000000806","1983-02-09",1958,1,1,5,6,3,0,0,0,0,0,0,0,3,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,2,0,0,1,2,0,1,0,1,13,26,4,8,0
"10000000811","1992-04-08",1946,0,-1,10,1,2,0,0,0,0,0,0,0,20,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,6,0,0,0
"10000000813","1980-09-21",1953,0,1,10,5,3,0,0,0,0,0,0,0,87,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,1,0,1,0,10,1,0,0,0
"10000000830","1987-03-23",1973,0,-1,9,5,3,0,0,0,0,0,0,0,7,13,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0
"10000000833","1981-04-16",1976,0,1,7,6,3,0,0,0,0,0,0,0,8,8,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,10,0,22,1
"10000000840","1982-08-03",1971,0,2,11,1,3,0,0,0,0,0,0,0,37,10,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,16,11,0,0,0
"10000000841","1981-03-12",1955,0,3,12,3,3,0,0,0,0,0,0,0,24,48,26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0
"10000000843","1969-05-26",1960,1,1,13,5,4,0,0,0,0,0,1,0,28,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0
"10000000849","1986-10-14",1962,0,2,2,-1,3,0,0,0,0,0,0,0,5,11,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"10000000863","1980-03-17",1965,0,2,7,-1,3,0,0,0,0,0,0,0,10,21,19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10000000884","1983-02-02",1951,0,-1,2,7,3,0,0,0,0,0,0,0,21,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0
"10000000903","1979-08-27",1963,0,2,12,4,3,0,0,0,0,0,0,0,172,7,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"10000000906","1979-07-10",1949,1,-1,11,3,3,0,0,0,0,0,0,0,6,3,118,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,14,7,0,0,0
"10000000935","1985-03-29",1958,1,1,6,-1,3,0,0,0,0,0,0,0,24,8,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"10000000940","1979-08-04",1974,0,1,6,-1,3,0,0,0,0,0,0,0,217,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,1,0,1,0,0,0,0,0,0
"10000000957","1982-04-26",1967,0,1,6,1,3,0,0,0,0,0,0,0,374,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,11,0,0,0,0
"10000000965","1982-03-31",1979,1,-1,8,4,3,0,0,0,0,0,0,0,19,16,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0
"10000000973","1975-12-26",1985,1,2,13,6,4,0,0,0,0,0,1,0,6,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,2,0,0,0,1,1,0,0,1,1,0,0,0,0,5,0,0
"10000000981","1985-10-08",1966,1,1,-1,3,3,0,0,0,0,0,0,0,7,29,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,18,0,0,0,0
"10000001009","1970-02-05",1950,0,-1,14,6,4,0,0,0,0,0,1,1,8,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,8,0,0,0
